Time Step,Robot ID,X,Y,Degree,SD Est,,
28,4,-332.6751,-190.49898,0,0,,
28,5,106.558205,-228.98538,0,0,,
28,6,-339.3341,-28.059267,0,0,,
28,7,-49.47489,251.28046,1,1,,
28,8,-24.478655,-7.099928,1,1,,
28,9,262.91815,-173.61415,0,0,,
28,10,121.44402,-365.4179,0,0,,
28,11,-9.031359,-337.68945,0,0,,
29,0,-40.445744,181.53069,0,0,,
29,1,-225.0239,-52.93402,0,0,,
29,2,-40.14879,27.532026,1,1,,
29,3,-129.15279,372.90723,0,0,,
29,4,-330.12927,-192.08603,0,0,,
29,5,104.56746,-231.22969,0,0,,
29,6,-339.31546,-25.059324,0,0,,
29,7,-51.98553,252.92262,0,0,,
29,8,-21.48828,-6.8598146,1,1,,
29,9,260.07785,-172.64839,0,0,,
29,10,124.402695,-365.91415,0,0,,
29,11,-10.963058,-339.98477,0,0,,
30,0,-37.512222,180.90263,0,0,,
30,1,-227.66022,-54.365723,0,0,,
30,2,-40.261127,30.529922,1,1,,
30,3,-132.14258,372.6599,0,0,,
30,4,-327.24173,-192.89972,0,0,,
30,5,102.93974,-233.74971,0,0,,
30,6,-339.78314,-22.096004,0,0,,
30,7,-54.77079,254.03722,0,0,,
30,8,-18.648113,-5.8936615,1,1,,
30,9,257.17267,-171.90016,0,0,,
30,10,127.28511,-366.74582,0,0,,
30,11,-12.579539,-342.51202,0,0,,
31,0,-34.716476,179.8146,0,0,,
31,1,-230.55019,-55.170757,0,0,,
31,2,-39.988113,33.517475,1,1,,
31,3,-135.13977,372.78958,0,0,,
31,4,-324.56064,-194.24573,0,0,,
31,5,101.65968,-236.4629,0,0,,
31,6,-341.35892,-19.543179,0,0,,
31,7,-57.564365,255.1308,0,0,,
31,8,-15.717162,-5.253719,1,1,,
31,9,254.24066,-171.26506,0,0,,
31,10,130.2631,-366.38312,0,0,,
31,11,-14.07403,-345.11328,0,0,,
32,0,-31.807972,179.07935,0,0,,
32,1,-233.50156,-55.708687,0,0,,
32,2,-39.501255,36.477707,1,1,,
32,3,-138.13701,372.91833,0,0,,
32,4,-321.99844,-195.80624,0,0,,
32,5,101.141365,-239.41779,0,0,,
32,6,-343.3866,-17.332186,0,0,,
32,7,-60.476196,255.85277,0,0,,
32,8,-12.801842,-4.5459685,1,1,,
32,9,251.24083,-171.29645,0,0,,
32,10,133.14214,-365.53976,0,0,,
32,11,-15.618234,-347.68533,0,0,,
33,0,-28.8108,178.9491,0,0,,
33,1,-236.34477,-56.665833,0,0,,
33,2,-39.815216,39.461235,1,1,,
33,3,-141.12166,372.6153,0,0,,
33,4,-319.6453,-197.66705,0,0,,
33,5,100.37351,-242.31786,0,0,,
33,6,-345.6739,-15.390968,0,0,,
33,7,-63.182056,257.1483,0,0,,
33,8,-9.816486,-4.249906,1,1,,
33,9,248.24417,-171.43805,0,0,,
33,10,135.98497,-364.58148,0,0,,
33,11,-17.177984,-350.248,0,0,,
34,0,-25.813358,178.82523,0,0,,
34,1,-239.33354,-56.925213,0,0,,
34,2,-40.095787,42.448086,1,1,,
34,3,-144.11882,372.48474,0,0,,
34,4,-317.80643,-200.0374,0,0,,
34,5,99.17378,-245.06752,0,0,,
34,6,-347.6686,-13.150192,0,0,,
34,7,-66.00015,258.17703,0,0,,
34,8,-6.8165646,-4.271596,1,1,,
